ID,REVIEWS,,,
1,Terrific purchase,,,
2,Highly recommended,,,
3,Does the job,,,
4,Just wow!,,,
5,Excellent,,,
6,Super!,,,
7,Fair,,,
8,Worth every penny,,,
9,Good quality product,,,
10,I got this mobile in just 2 days after placing order.1. Phone is very light weight2. Colour of phone is awesome.3. Dolby Atmos speakers are just mind blowing.4. Feels like premium phone.5. Video quality is quiet good6. Camera quality is normal . 7. Battery backup is also good8. Charging is about 1.5 percent per minute .# charger need to be of more watt,,,
11,Very nice mobile,,,
12,Nice product..realy worth for money,,,
13,Just ok nothing special may update this Just spend a day with this,,,
14,Very very very nice product 👍👍👍,,,
15,Amazing mobile in the price segment of 10 thousand.  If your budget is 10k then you must go for this,,,
16,In 10 k best phon. Performance wise nice 👍,,,
17,Charger low qualityDesign best qualityCamera is good qualityDisplay is good quality Chargering time time heat phone and charger,,,
18,Nice,,,
19,Budget smartphone. Design, battery and build is good. Camera is below par.,,
20,Worth every penny,,,
21,Best in the market!,,,
22,Mind-blowing purchase,,,
23,Awesome,,,
24,Could be way better,,,
25,Brilliant,,,
26,Classy product,,,
27,Super!,,,
28,Value-for-money,,,
29,Delightful,,,
30,Good mobile with reasonable price,,,
31,Nice mobile 🔥🔥🔥,,,
32,Very nice look and comes with stock Android bought it for my maa❤️,,,
33,Nice,,,
34,Call volume is low. We have to turn on the speaker every time.,,,
35,Good,,,
36,It's work so smoothly in this price segmentIt's look like 20,000buget phone with claay look,,
37,Really in this price range no any mobile brand gives mobile like this,,,
38,Best Mobile in this price. Performance best. Looking awesome 😎. Love it.... Hello Moto,,,
39,Performance is good. Camera is good considering the price. Exposure management is excellent. Cam is problematic at night and while capturing white coloured things. Otherwise good. Sound quality is up to the mark and loud. The phone looks premium. No major issues.,,,
40,Worth the money,,,
41,Really Nice,,,
42,Perfect product!,,,
43,Simply awesome,,,
44,Bad quality,,,
45,Useless product,,,
46,Bad quality,,,
47,Expected a better product,,,
48,Pretty good,,,
49,Delightful,,,
50,Good phone best quality..Best phone in budget segment.,,,
